#X 	Y 	poch 	SPLINE
89.61	-0.31924	96.3198	-0.42205
89.62	-0.42205	75.0752	-0.51715
89.63	-0.51715	61.59	-0.60624
89.64	-0.60624	43.5156	-0.69089
89.65	-0.69089	30.6307	-0.77252
89.66	-0.77252	15.087	-0.85247
89.67	-0.85247	6.14648	-0.93194
89.68	-0.93194	-7.20791	-1.0121
89.69	-1.0121	-18.6926	-1.09401
89.7	-1.09401	-26.7789	-1.17872
89.71	-1.17872	-38.4244	-1.26723
89.72	-1.26723	-47.4283	-1.36053
89.73	-1.36053	-59.1365	-1.45959
89.74	-1.45959	-66.1511	-1.56541
89.75	-1.56541	-77.3038	-1.67899
89.76	-1.67899	-90.0305	-1.80138
89.77	-1.80138	-96.7654	-1.93366
89.78	-1.93366	-110.665	-2.07696
89.79	-2.07696	-121.495	-2.2325
89.8	-2.2325	-137.436	-2.40153
89.81	-2.40153	-145.872	-2.58541
89.82	-2.58541	-162.291	-2.78557
89.83	-2.78557	-181.328	-3.00353
89.84	-3.00353	-190.361	-3.2409
89.85	-3.2409	-211.775	-3.49935
89.86	-3.49935	-226.8	-3.78066
89.87	-3.78066	-252.027	-4.08665
89.88	-4.08665	-259.861	-4.41916
89.89	-4.41916	-285.631	-4.78005
89.9	-4.78005	-299.682	-5.17112
89.91	-5.17112	-325.696	-5.59403
89.92	-5.59403	-327.19	-6.05024
89.93	-6.05024	-344.101	-6.54086
89.94	-6.54086	-360.124	-7.06653
89.95	-7.06653	-342.376	-7.62718
89.96	-7.62718	-344.995	-8.22185
89.97	-8.22185	-317.997	-8.84843
89.98	-8.84843	-296.737	-9.5033
89.99	-9.5033	-222.378	-10.1811
90	-10.1811	-157.785	-10.8743
90.01	-10.8743	-70.6568	-11.573
90.02	-11.573	76.1218	-12.2648
90.03	-12.2648	211.462	-12.9347
90.04	-12.9347	393.254	-13.5653
90.05	-13.5653	574.915	-14.1372
90.06	-14.1372	800.459	-14.63
90.07	-14.63	994.528	-15.0233
90.08	-15.0233	1184.63	-15.2984
90.09	-15.2984	1353.34	-15.4393
90.1	-15.4393	1462.59	-15.4348
90.11	-15.4348	1518.99	-15.2793
90.12	-15.2793	1517.53	-14.9736
90.13	-14.9736	1431.7	-14.5253
90.14	-14.5253	1302.75	-13.9477
90.15	-13.9477	1112.58	-13.2589
90.16	-13.2589	911.941	-12.4805
90.17	-12.4805	652.696	-11.6356
90.18	-11.6356	429.205	-10.7476
90.19	-10.7476	223.181	-9.83821
90.2	-9.83821	-4.94496	-8.92734
90.21	-8.92734	-153.642	-8.03181
90.22	-8.03181	-300.541	-7.16534
90.23	-7.16534	-387.041	-6.33847
90.24	-6.33847	-489.382	-5.55878
90.25	-5.55878	-523.93	-4.8312
90.26	-4.8312	-540.147	-4.15836
90.27	-4.15836	-568.932	-3.54104
90.28	-3.54104	-545.991	-2.97852
90.29	-2.97852	-533.7	-2.46896
90.3	-2.46896	-495.461	-2.00965
90.31	-2.00965	-478.251	-1.59735
90.32	-1.59735	-433.072	-1.22843
90.33	-1.22843	-391.152	-0.8991
90.34	-0.8991	-362.497	-0.60549
90.35	-0.60549	-317.076	-0.34379
90.36	-0.34379	-282.979	-0.1103
90.37	-0.1103	-242.889	0.09851
90.38	0.09851	-216.61	0.28598
90.39	0.28598	-180.6	0.45523
90.4	0.45523	-153.721	0.60915
90.41	0.60915	-123.923	0.75041
90.42	0.75041	-103.661	0.88149
90.43	0.88149	-78.6947	1.00465
90.44	1.00465	-56.555	1.12196
90.45	1.12196	-40.6794	1.23536
90.46	1.23536	-20.7069	1.34661
90.47	1.34661	-5.44134	1.45736
90.48	1.45736	12.4944	1.56916
90.49	1.56916	23.5849	1.68347
90.5	1.68347	38.6331	1.80166
90.51	1.80166	54.5774	1.92509
90.52	1.92509	63.1102	2.05505
90.53	2.05505	79.0972	2.19284
90.54	2.19284	90.1162	2.33974
90.55	2.33974	106.789	2.49705
90.56	2.49705	114.519	2.66607
90.57	2.66607	130.485	2.84816
90.58	2.84816	147.411	3.04469
90.59	3.04469	155.229	3.25708
90.6	3.25708	174.237	3.48679
